id,ward_num,num_beds,num_baths,has_den,size_group,has_parking,property_orientation,days_on_market,building_age,monthly_maintenance_fee,listing_price,latitude,longitude
219129,13,3.0,3,False,3,False,N,16.0,9,1087.0,1821000.0,43.61799707222609,-79.3923829334807
757581,13,1.0,1,True,1,True,W,23.0,3,469.0,613000.0,43.64896846286158,-79.39003091322324
404196,13,2.0,2,True,1,True,W,12.0,1,767.0,838000.0,43.64104466596335,-79.37543575581886
821441,13,2.0,2,False,1,True,S,10.0,25,827.0,935000.0,43.64212244209752,-79.37025008660014
190492,10,0.0,1,False,1,True,S,1.0,12,526.0,645000.0,43.65331584352952,-79.40030920867638
194328,11,1.0,1,True,1,False,S,4.0,8,610.0,777000.0,43.6657317590458,-79.3714678361946
463115,13,1.0,2,True,1,False,W,5.0,4,639.0,778000.0,43.638118467185606,-79.38774078020593
544847,10,2.0,2,False,4,True,N,13.0,11,1353.0,2424000.0,43.68364286985454,-79.38649555422168
932951,13,1.0,1,True,1,True,E,19.0,0,588.0,664000.0,43.63487471403577,-79.42528949417603
314167,11,3.0,2,False,1,True,W,37.0,19,492.0,664000.0,43.6596235910671,-79.35674827280816
636647,10,1.0,1,False,1,True,E,13.0,25,776.0,572000.0,43.66182773280277,-79.41677924456589
813901,10,1.0,1,True,1,False,N,3.0,1,752.0,806000.0,43.68778353914964,-79.37737267875926
939782,10,2.0,1,True,1,False,E,1.0,7,866.0,909000.0,43.65605319841197,-79.41349201727549
417436,10,2.0,1,False,2,True,S,54.0,1,702.0,954000.0,43.67832512203595,-79.36863918148072
649921,10,2.0,2,False,1,False,E,4.0,16,1133.0,1132000.0,43.66747935750579,-79.40418481547331
527981,10,2.0,2,True,3,True,N,2.0,0,1156.0,1499000.0,43.67556406713593,-79.3958715539492
506169,13,1.0,1,True,0,True,E,6.0,4,284.0,394000.0,43.64003169504455,-79.38850037323355
299615,10,1.0,1,True,0,False,N,16.0,14,591.0,544000.0,43.65477959286089,-79.39384776313454
281843,10,3.0,3,False,1,True,S,5.0,5,477.0,688000.0,43.6566233037412,-79.42206224702754
320300,11,1.0,1,False,1,False,E,24.0,6,444.0,583000.0,43.66944239478581,-79.37302246074034
907535,11,1.0,1,False,1,False,S,6.0,16,818.0,618000.0,43.656430472335856,-79.3614755102645
819012,13,1.0,1,True,0,True,N,2.0,13,291.0,447000.0,43.63787336330299,-79.42318860146155
530843,10,1.0,1,False,1,False,W,5.0,7,821.0,962000.0,43.677867350874486,-79.38042925505518
456166,10,1.0,1,True,0,False,S,27.0,10,511.0,583000.0,43.658014588772566,-79.40884291248227
791788,13,1.0,1,False,0,False,N,0.0,2,341.0,480000.0,43.64858319233683,-79.35821841977804
307066,13,2.0,2,False,1,True,E,5.0,9,615.0,929000.0,43.63712324210069,-79.39586212415982
518361,10,1.0,1,True,1,True,E,28.0,15,551.0,584000.0,43.691252039269386,-79.38356074578479
