id,ward_num,num_beds,num_baths,has_den,size_group,has_parking,property_orientation,days_on_market,building_age,monthly_maintenance_fee,listing_price,latitude,longitude,geometry,distance_to_subway
219129,13,3.0,3,0,3,0,,16.0,9,1087.0,1821000.0,43.61799707222609,-79.3923829334807,POINT (-79.3923829334807 43.61799707222609),0.029993377650360184
757581,13,1.0,1,1,1,1,,23.0,3,469.0,613000.0,43.64896846286158,-79.39003091322324,POINT (-79.39003091322324 43.64896846286158),0.00983970355545153
404196,13,2.0,2,1,1,1,,12.0,1,767.0,838000.0,43.64104466596335,-79.37543575581886,POINT (-79.37543575581886 43.64104466596335),0.007045481945782353
821441,13,2.0,2,0,1,1,1.0,10.0,25,827.0,935000.0,43.64212244209752,-79.37025008660014,POINT (-79.37025008660014 43.64212244209752),0.011093390530777023
190492,10,0.0,1,0,1,1,1.0,1.0,12,526.0,645000.0,43.65331584352952,-79.40030920867638,POINT (-79.40030920867638 43.65331584352952),0.014241689997582742
194328,11,1.0,1,1,1,0,1.0,4.0,8,610.0,777000.0,43.6657317590458,-79.3714678361946,POINT (-79.3714678361946 43.6657317590458),0.006914715228496036
463115,13,1.0,2,1,1,0,,5.0,4,639.0,778000.0,43.638118467185606,-79.38774078020593,POINT (-79.38774078020593 43.638118467185606),0.010263988406295737
544847,10,2.0,2,0,4,1,,13.0,11,1353.0,2424000.0,43.68364286985454,-79.38649555422168,POINT (-79.38649555422168 43.68364286985454),0.00662326423834303
932951,13,1.0,1,1,1,1,2.0,19.0,0,588.0,664000.0,43.63487471403577,-79.42528949417603,POINT (-79.42528949417603 43.63487471403577),0.027216169625494443
314167,11,3.0,2,0,1,1,,37.0,19,492.0,664000.0,43.6596235910671,-79.35674827280816,POINT (-79.35674827280816 43.6596235910671),0.01905917484378826
636647,10,1.0,1,0,1,1,2.0,13.0,25,776.0,572000.0,43.66182773280277,-79.41677924456589,POINT (-79.41677924456589 43.66182773280277),0.012532176313592531
813901,10,1.0,1,1,1,0,,3.0,1,752.0,806000.0,43.68778353914964,-79.37737267875926,POINT (-79.37737267875926 43.68778353914964),0.015199358779179094
939782,10,2.0,1,1,1,0,2.0,1.0,7,866.0,909000.0,43.65605319841197,-79.41349201727549,POINT (-79.41349201727549 43.65605319841197),0.01682815044442624
417436,10,2.0,1,0,2,1,1.0,54.0,1,702.0,954000.0,43.67832512203595,-79.36863918148072,POINT (-79.36863918148072 43.67832512203595),0.006082141108461305
649921,10,2.0,2,0,1,0,2.0,4.0,16,1133.0,1132000.0,43.66747935750579,-79.40418481547331,POINT (-79.40418481547331 43.66747935750579),0.0032766077578878167
527981,10,2.0,2,1,3,1,,2.0,0,1156.0,1499000.0,43.67556406713593,-79.3958715539492,POINT (-79.3958715539492 43.67556406713593),0.006749939677208893
506169,13,1.0,1,1,0,1,2.0,6.0,4,284.0,394000.0,43.64003169504455,-79.38850037323355,POINT (-79.38850037323355 43.64003169504455),0.009558296744427075
299615,10,1.0,1,1,0,0,,16.0,14,591.0,544000.0,43.65477959286089,-79.39384776313454,POINT (-79.39384776313454 43.65477959286089),0.013959564174036786
281843,10,3.0,3,0,1,1,1.0,5.0,5,477.0,688000.0,43.6566233037412,-79.42206224702754,POINT (-79.42206224702754 43.6566233037412),0.00890314540360796
320300,11,1.0,1,0,1,0,2.0,24.0,6,444.0,583000.0,43.66944239478581,-79.37302246074034,POINT (-79.37302246074034 43.66944239478581),0.003920798965640188
907535,11,1.0,1,0,1,0,1.0,6.0,16,818.0,618000.0,43.656430472335856,-79.3614755102645,POINT (-79.3614755102645 43.656430472335856),0.01862120602344814
819012,13,1.0,1,1,0,1,,2.0,13,291.0,447000.0,43.63787336330299,-79.42318860146155,POINT (-79.42318860146155 43.63787336330299),0.024689940017420035
530843,10,1.0,1,0,1,0,,5.0,7,821.0,962000.0,43.677867350874486,-79.38042925505518,POINT (-79.38042925505518 43.677867350874486),0.0062847868847498
456166,10,1.0,1,1,0,0,1.0,27.0,10,511.0,583000.0,43.658014588772566,-79.40884291248227,POINT (-79.40884291248227 43.658014588772566),0.012400646529642118
791788,13,1.0,1,0,0,0,,0.0,2,341.0,480000.0,43.64858319233683,-79.35821841977804,POINT (-79.35821841977804 43.64858319233683),0.022739198484611013
307066,13,2.0,2,0,1,1,2.0,5.0,9,615.0,929000.0,43.63712324210069,-79.39586212415982,POINT (-79.39586212415982 43.63712324210069),0.017336371026874346
518361,10,1.0,1,1,1,1,2.0,28.0,15,551.0,584000.0,43.691252039269386,-79.38356074578479,POINT (-79.38356074578479 43.691252039269386),0.010172733689779218
621228,10,1.0,1,1,0,1,,33.0,4,402.0,515000.0,43.658391783860885,-79.41298298667198,POINT (-79.41298298667198 43.658391783860885),0.015151371316684452
354135,11,3.0,2,0,2,0,2.0,30.0,1,937.0,1288000.0,43.67075298910871,-79.3695234168154,POINT (-79.3695234168154 43.67075298910871),0.0021954780187647066
378054,13,2.0,2,1,2,0,,3.0,5,811.0,1063000.0,43.6386905061052,-79.40292852867819,POINT (-79.40292852867819 43.6386905061052),0.023227997544725865
707003,10,1.0,1,0,0,1,,2.0,13,391.0,608000.0,43.67260820394731,-79.3964567179495,POINT (-79.3964567179495 43.67260820394731),0.004015786542944595
616282,10,2.0,2,0,2,1,1.0,13.0,14,748.0,955000.0,43.67038725693614,-79.41675121939844,POINT (-79.41675121939844 43.67038725693614),0.015219543802254577
893102,13,2.0,2,1,1,0,1.0,6.0,1,597.0,668000.0,43.64235415289229,-79.39064251149064,POINT (-79.39064251149064 43.64235415289229),0.010410373002633493
568870,10,3.0,3,0,1,0,1.0,45.0,12,864.0,1062000.0,43.68510818722781,-79.36352422764439,POINT (-79.36352422764439 43.68510818722781),0.014418666876124848
975983,11,1.0,1,0,1,0,1.0,26.0,12,462.0,732000.0,43.66940298365705,-79.36458858263411,POINT (-79.36458858263411 43.66940298365705),0.006902436582571123
722273,11,2.0,2,1,1,0,,5.0,9,484.0,740000.0,43.650848467277946,-79.35949469940189,POINT (-79.35949469940189 43.650848467277946),0.021898902689642997
